DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Thunderball,Ball Set,Machine,DrawNumber
01-Jun-2022,13,39,30,23,3,9,T1,Excalibur 2,3079
31-May-2022,11,17,7,31,36,5,T1,Excalibur 6,3078
28-May-2022,2,34,21,37,25,1,T4,Excalibur 6,3077
27-May-2022,36,37,33,11,21,10,T4,Excalibur 6,3076
25-May-2022,30,24,22,23,37,2,T4,Excalibur 5,3075
24-May-2022,22,14,15,1,6,4,T4,Excalibur 5,3074
21-May-2022,13,23,31,35,1,7,T3,Excalibur 6,3073
20-May-2022,32,33,36,30,37,13,T3,Excalibur 6,3072
18-May-2022,23,8,22,36,3,2,T3,Excalibur 6,3071
17-May-2022,19,21,26,24,32,1,T3,Excalibur 6,3070
14-May-2022,13,28,1,34,31,8,T2,Excalibur 6,3069
13-May-2022,2,13,6,38,29,8,T2,Excalibur 6,3068
11-May-2022,24,22,18,20,26,13,T2,Excalibur 6,3067
10-May-2022,23,24,31,14,1,1,T2,Excalibur 6,3066
